issue;pid;title;publication_year;Language;binder_url;editorial;binder_launch;binder_comment;reproducibility;status;reprodicibility_comment;version;
History seeing through the web;7XSDVCtnbXva;‘Thanks for the moan!’ Disillusionment with the British sickness system, online and in print, 1997–2005;2025;python;https://mybinder.org/v2/gh/jdh-observer/7XSDVCtnbXva/main?filepath=article.ipynb;FALSE;TRUE;;fully;TRUE;;python-3.8;
History seeing through the web;hXsgcT9BZ5jP;Unlocking political web defacements for research;2025;python;https://mybinder.org/v2/gh/jdh-observer/hXsgcT9BZ5jP/main?filepath=article.ipynb;FALSE;FALSE;no runtime defined - jupyter-contrib-nbextensions - repo from 2023 - pyLDAvis==3.3.1 sklearn package depreacted;fully;FALSE;;python-3.9.12;
DH China;69Xry3ztPAk5;Shaping the Transnational Public Sphere in Republican China: Discourses and Practices of the Rotary Club in the Shanghai Press (1919-1949);2024;r;https://mybinder.org/v2/gh/jdh-observer/69Xry3ztPAk5/HEAD?filepath=article.ipynb;FALSE;TRUE;still jupyter notebook;no_code;;;;
Varia;6ig87tC5GKjQ;Talking borders, history and digital hermeneutics;2025;python;https://mybinder.org/v2/gh/jdh-observer/6ig87tC5GKjQ/main?filepath=article.ipynb;FALSE;TRUE;still jupyter notebook;fully;TRUE;one plotly graph;python-3.7;
Varia;ZDFmmD3xv4S7;Exploring the simulation and visualization of historical data in environmental history: Airborne dust concentration from the Belval Factory;2025;python;https://mybinder.org/v2/gh/jdh-observer/ZDFmmD3xv4S7/main?filepath=article.ipynb;FALSE;FALSE;Failed to build numpy pandas;fully;FALSE;It was not possible to do it via my binder > 2Go;python-3.10;
Varia;MzghFipgZWQq;Time: the Cost of Reproducibility;2025;python;https://mybinder.org/v2/gh/jdh-observer/MzghFipgZWQq/main?filepath=article.ipynb;TRUE;TRUE;;fully;TRUE;2 graph plotly / matplotlib;python-3.12;
Varia;jnkqqTTKW8km;Women in Early Modern Handwritten News: Random Walks and Semantic Wanderings in the Medici Archive;2024;python;https://mybinder.org/v2/gh/jdh-observer/jnkqqTTKW8km/HEAD?filepath=paper.ipynb;FALSE;TRUE;;fully;TRUE;;python-3.7;
Varia;aADj3Ljjqti2;"""Public opinion should be suspended until further report"": A Data-Assisted Analysis of International Newspaper Coverage of the Explosion of the USS Maine (1898)";2024;python;https://mybinder.org/v2/gh/jdh-observer/aADj3Ljjqti2/main;FALSE;TRUE;;fully;TRUE;plotly /. Issue with iframe https://resolver.kb.nl/resolve?urn=ddd:010177239:mpeg21:pdf;python-3.7;
Digital tools;6EWgjJtoiW6R;Mapping radio: Variations on segmentation and analysis of Swedish broadcasting data;2025;python;https://mybinder.org/v2/gh/jdh-observer/6EWgjJtoiW6R/main?filepath=article.ipynb;FALSE;TRUE;Fix by reinstalling package ;fully;FALSE;"AttributeError: module 'matplotlib' has no attribute ‘axes' - fixed by reinstalling package
";python-3.10;
Digital tools;48RGuzM4qfVA;Interactive panels as explorative tools of visual sources: widening Warburgs’ epistemological principles (Special issue: Digital tools);2025;python;https://mybinder.org/v2/gh/jdh-observer/48RGuzM4qfVA/main?filepath=article.ipynb;FALSE;TRUE;;no_code;;Iframe observable;python-3.8;
Digital tools;FYjDViXVXggz;The Text Analysis Prototype for GaLiLeO: Galileo's Library and Letters Online;2025;r;https://mybinder.org/v2/gh/jdh-observer/FYjDViXVXggz/HEAD?filepath=article.ipynb;FALSE;TRUE;Use of memory > 2GB the maximum allowed by myBinder;not_binder;FALSE;Not by my binder;jupyter/r-notebook:x86_64-r-4.3.1;
Digital tools;8X2RX68Qavxr;In search of an interpretative environment for digital traces: the building of Arvest;2025;python;https://mybinder.org/v2/gh/jdh-observer/8X2RX68Qavxr/main?filepath=article.ipynb;FALSE;TRUE;Notebook validation failed: Additional properties are not allowed ('id' was unexpected);no_code;;Dataframe;python-3.7;
Digital tools;52s3BFHa5Miy;Voyages in 3D: Creating a Multimodal Narrative of the Battle of Mount Street Bridge;2025;Python;https://mybinder.org/v2/gh/jdh-observer/52s3BFHa5Miy/main?filepath=skim-article.ipynb;FALSE;TRUE;Notebook validation failed: Additional properties are not allowed ('id' was unexpected);no_code;;;;
Digital tools;BuWvtJFxh3wy;Tracking and tracing audiovisual reuse: Introducing the Video Reuse Detector;2024;python;https://mybinder.org/v2/gh/jdh-observer/BuWvtJFxh3wy/HEAD?filepath=article.ipynb;FALSE;TRUE;;partially;FALSE;Until finding reuse in the SF archive;python-3.7.13;
Digital tools;X3MGSKqAycaT;A Digital Toolbox for Studying the LGBTQ World, 1965-1990;2024;r;https://mybinder.org/v2/gh/jdh-observer/X3MGSKqAycaT/HEAD?filepath=article.ipynb;FALSE;TRUE;Notebook in read-only;fully;TRUE;Dataset attach;"R version 4.2.0 
rocker/binder:4.2.0";
Digital tools;m734RWDSLo9C;Rio Narratives: A map-based storytelling application for imagineRio;2024;python;https://mybinder.org/v2/gh/imaginerio/narratives-jdh/main?filepath=narratives.ipynb;FALSE;FALSE;No runtime version - jupyter-contrib-nbextensions==0.5.1 - wrong my binder link;no_code;;Vimeo;;
